,,Conv3D,Conv3D,Conv3D,VIT,VIT,VIT
Measure,,Mean,Median,STD,Mean,Median,STD
Subcommand Counts,Metric,,,,,,
1,ADE,12.133,7.221,12.934,23.256,7.995,30.824
1,ADE Match,6.052,1.285,9.954,17.297,3.817,28.929
1,FDE,21.687,10.576,24.581,44.782,13.151,55.701
1,Frechet,21.695,10.576,24.573,46.315,13.151,58.768
2,ADE,6.427,4.655,5.132,19.636,4.743,38.485
2,ADE Match,1.914,1.193,2.494,14.598,1.26,36.605
2,FDE,9.635,7.496,8.652,29.45,9.111,40.339
2,Frechet,9.635,7.496,8.652,38.908,9.111,65.895
