Meteric,frechet,frechet,frechet,frechet,frechet,frechet,fde,fde,fde,fde,fde,fde,ade,ade,ade,ade,ade,ade,ade_match,ade_match,ade_match,ade_match,ade_match,ade_match,tc,tc,tc,tc,tc,tc,nDTW,nDTW,nDTW,nDTW,nDTW,nDTW
Model,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR
infra,9.262,10.977,33.844,18.384,18.493,53.105,9.233,10.977,33.844,10.52,18.493,52.19,8.076,9.306,19.101,14.225,10.672,41.133,1.933,3.102,11.058,7.999,5.702,26.634,0.875,0.75,0.375,0.75,0.625,0.375,0.679,0.478,0.114,0.495,0.532,0.17
road,17.578,55.326,49.163,47.691,49.679,36.292,15.472,47.951,35.897,31.235,30.66,35.569,9.637,31.003,28.577,24.635,26.154,20.634,4.2,23.49,20.007,18.367,19.754,12.293,0.652,0.478,0.521,0.478,0.217,0.26,0.553,0.209,0.247,0.358,0.286,0.143
auto,11.294,148.411,14.834,21.548,75.877,61.306,11.294,148.411,14.675,21.387,55.403,61.306,11.809,84.007,16.13,18.43,36.221,27.105,1.566,66.746,1.83,6.843,26.761,22.803,1.0,0.333,0.333,0.0,0.333,0.333,0.636,0.118,0.546,0.418,0.161,0.287
