Meteric,frechet,frechet,frechet,frechet,frechet,frechet,fde,fde,fde,fde,fde,fde,ade,ade,ade,ade,ade,ade,ade_match,ade_match,ade_match,ade_match,ade_match,ade_match,tc,tc,tc,tc,tc,tc,nDTW,nDTW,nDTW,nDTW,nDTW,nDTW
Model,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR,CLIP-VC,CLIP-V,CLIP,CLIP-C,RNR-C,RNR
stop_mean,13.657,62.557,43.562,32.777,43.294,43.519,13.645,54.726,38.101,23.476,23.525,43.143,8.413,34.141,30.107,20.615,21.987,29.795,3.0,26.537,21.94,14.652,16.785,20.094,0.8,0.55,0.5,0.45,0.35,0.35,0.615,0.243,0.215,0.391,0.393,0.169
left_mean,17.433,43.537,27.242,41.42,38.422,34.524,12.588,41.701,27.242,35.492,27.31,32.884,11.834,26.035,17.624,24.72,20.524,17.177,5.285,19.255,6.495,17.04,13.929,8.94,0.6,0.4,0.6,0.4,0.2,0.3,0.525,0.259,0.171,0.352,0.295,0.247
park_mean,13.329,15.709,27.527,26.923,42.268,80.496,13.329,15.709,27.527,14.385,42.268,79.238,7.837,9.255,16.22,20.441,16.748,51.552,2.508,3.108,6.64,11.206,11.289,38.359,0.8,0.6,0.4,0.6,0.4,0.4,0.603,0.495,0.384,0.501,0.356,0.038
right_mean,18.398,61.462,62.665,54.154,52.025,31.32,18.398,48.87,37.238,27.514,24.832,31.302,7.915,32.01,35.591,26.045,28.151,20.586,3.611,23.977,29.715,20.763,23.131,12.624,0.666,0.666,0.5,0.583,0.5,0.333,0.548,0.226,0.267,0.378,0.451,0.22
straight_mean,7.213,68.459,93.834,60.048,38.574,37.773,7.213,65.544,44.739,10.841,38.574,37.773,11.267,50.103,31.262,21.531,20.801,23.729,0.962,37.016,21.383,17.599,11.956,10.184,1.0,0.5,0.5,1.0,0.5,0.5,0.7,0.115,0.032,0.513,0.306,0.255
